,,,,,327b,,#NAME?,X,-2,654,79,དོན་དགུ་,V23703_I1421,656,https://iiif.bdrc.io/bdr:V23703_I1421::14210656.tif/full/max/0/default.png
,,,,,328a,གསུམ་བརྒྱ་ ཉེར་བརྒྱད་,#NAME?,X,-2,655,80,བརྒྱད་བཅུ་,V23703_I1421,657,https://iiif.bdrc.io/bdr:V23703_I1421::14210657.tif/full/max/0/default.png
,,,,,328b,,#NAME?,X,-2,656,81,གྱ་གཅིག་,V23703_I1421,658,https://iiif.bdrc.io/bdr:V23703_I1421::14210658.tif/full/max/0/default.png
,,,,,329a,གསུམ་བརྒྱ་ ཉེར་དགུ་,#NAME?,X,-2,657,82,གྱ་གཉིས་,V23703_I1421,659,https://iiif.bdrc.io/bdr:V23703_I1421::14210659.tif/full/max/0/default.png
,,,,,329b,,#NAME?,X,-2,658,83,གྱ་གསུམ་,V23703_I1421,660,https://iiif.bdrc.io/bdr:V23703_I1421::14210660.tif/full/max/0/default.png
,,,,,330a,གསུམ་བརྒྱ་ སུམ་བཅུ་,#NAME?,X,-2,659,84,གྱ་བཞི་,V23703_I1421,661,https://iiif.bdrc.io/bdr:V23703_I1421::14210661.tif/full/max/0/default.png
,,,,,330b,,#NAME?,X,-2,660,85,གྱ་ལྔ་,V23703_I1421,662,https://iiif.bdrc.io/bdr:V23703_I1421::14210662.tif/full/max/0/default.png
,,,,,331a,གསུམ་བརྒྱ་ སོ་གཅིག་,#NAME?,X,-2,661,86,གྱ་དྲུག་,V23703_I1421,663,https://iiif.bdrc.io/bdr:V23703_I1421::14210663.tif/full/max/0/default.png
,,,,,331b,,#NAME?,X,-2,662,87,གྱ་བདུན་,V23703_I1421,664,https://iiif.bdrc.io/bdr:V23703_I1421::14210664.tif/full/max/0/default.png
,,,,,332a,གསུམ་བརྒྱ་ སོ་གཉིས་,#NAME?,X,-2,663,88,གྱ་བརྒྱད་,V23703_I1421,665,https://iiif.bdrc.io/bdr:V23703_I1421::14210665.tif/full/max/0/default.png
,,,,,332b,,#NAME?,X,-2,664,89,གྱ་དགུ་,V23703_I1421,666,https://iiif.bdrc.io/bdr:V23703_I1421::14210666.tif/full/max/0/default.png
,,,,,333a,གསུམ་བརྒྱ་ སོ་གསུམ་,#NAME?,X,-2,665,90,དགུ་བཅུ་,V23703_I1421,667,https://iiif.bdrc.io/bdr:V23703_I1421::14210667.tif/full/max/0/default.png
,,,,,333b,,#NAME?,X,-2,666,91,གོ་གཅིག་,V23703_I1421,668,https://iiif.bdrc.io/bdr:V23703_I1421::14210668.tif/full/max/0/default.png
,,,,,334a,གསུམ་བརྒྱ་ སོ་བཞི་,#NAME?,X,-2,667,92,གོ་གཉིས་,V23703_I1421,669,https://iiif.bdrc.io/bdr:V23703_I1421::14210669.tif/full/max/0/default.png
,,,,,334b,,#NAME?,X,-2,668,93,གོ་གསུམ་,V23703_I1421,670,https://iiif.bdrc.io/bdr:V23703_I1421::14210670.tif/full/max/0/default.png
,,,,,335a,གསུམ་བརྒྱ་ སོ་ལྔ་,#NAME?,X,-2,669,94,གོ་བཞི་,V23703_I1421,671,https://iiif.bdrc.io/bdr:V23703_I1421::14210671.tif/full/max/0/default.png
,,,,,335b,,#NAME?,X,-2,670,95,གོ་ལྔ་,V23703_I1421,672,https://iiif.bdrc.io/bdr:V23703_I1421::14210672.tif/full/max/0/default.png
,,,,,336a,གསུམ་བརྒྱ་ སོ་དྲུག་,#NAME?,X,-2,671,96,གོ་དྲུག་,V23703_I1421,673,https://iiif.bdrc.io/bdr:V23703_I1421::14210673.tif/full/max/0/default.png
,,,,,336b,,#NAME?,X,-2,672,97,གོ་བདུན་,V23703_I1421,674,https://iiif.bdrc.io/bdr:V23703_I1421::14210674.tif/full/max/0/default.png
