333b,,https://iiif.bdrc.io/bdr:V1KG13126_I1KG13283::I1KG132830674.jpg/full/max/0/default.jpg,,,,,,
334a,གསུམ་བརྒྱ་ སོ་བཞི་,https://iiif.bdrc.io/bdr:V1KG13126_I1KG13283::I1KG132830675.jpg/full/max/0/default.jpg,,,,,,
334b,,https://iiif.bdrc.io/bdr:V1KG13126_I1KG13283::I1KG132830676.jpg/full/max/0/default.jpg,,,,,,
335a,གསུམ་བརྒྱ་ སོ་ལྔ་,https://iiif.bdrc.io/bdr:V1KG13126_I1KG13283::I1KG132830677.jpg/full/max/0/default.jpg,,,,,,
335b,,https://iiif.bdrc.io/bdr:V1KG13126_I1KG13283::I1KG132830678.jpg/full/max/0/default.jpg,,,,,,
336a,གསུམ་བརྒྱ་ སོ་དྲུག་,https://iiif.bdrc.io/bdr:V1KG13126_I1KG13283::I1KG132830679.jpg/full/max/0/default.jpg,,,,,,
336b,,https://iiif.bdrc.io/bdr:V1KG13126_I1KG13283::I1KG132830680.jpg/full/max/0/default.jpg,,,,,,
337a,གསུམ་བརྒྱ་ སོ་བདུན་,https://iiif.bdrc.io/bdr:V1KG13126_I1KG13283::I1KG132830681.jpg/full/max/0/default.jpg,,,,,,
337b,,https://iiif.bdrc.io/bdr:V1KG13126_I1KG13283::I1KG132830682.jpg/full/max/0/default.jpg,,,,,,
338a,གསུམ་བརྒྱ་ སོ་བརྒྱད་,https://iiif.bdrc.io/bdr:V1KG13126_I1KG13283::I1KG132830683.jpg/full/max/0/default.jpg,,,,,,
338b,,https://iiif.bdrc.io/bdr:V1KG13126_I1KG13283::I1KG132830684.jpg/full/max/0/default.jpg,,,,,,
339a,གསུམ་བརྒྱ་ སོ་དགུ་,https://iiif.bdrc.io/bdr:V1KG13126_I1KG13283::I1KG132830685.jpg/full/max/0/default.jpg,,,,,,
339b,,https://iiif.bdrc.io/bdr:V1KG13126_I1KG13283::I1KG132830686.jpg/full/max/0/default.jpg,,,,,,
340a,གསུམ་བརྒྱ་ བཞི་བཅུ་,https://iiif.bdrc.io/bdr:V1KG13126_I1KG13283::I1KG132830687.jpg/full/max/0/default.jpg,,,,,,
340b,,https://iiif.bdrc.io/bdr:V1KG13126_I1KG13283::I1KG132830688.jpg/full/max/0/default.jpg,,,,,,
341a,གསུམ་བརྒྱ་ ཞེ་གཅིག་,https://iiif.bdrc.io/bdr:V1KG13126_I1KG13283::I1KG132830689.jpg/full/max/0/default.jpg,,,,,,
341b,,https://iiif.bdrc.io/bdr:V1KG13126_I1KG13283::I1KG132830690.jpg/full/max/0/default.jpg,,,,,,
342a,གསུམ་བརྒྱ་ ཞེ་གཉིས་,https://iiif.bdrc.io/bdr:V1KG13126_I1KG13283::I1KG132830691.jpg/full/max/0/default.jpg,,,,,,
342b,,https://iiif.bdrc.io/bdr:V1KG13126_I1KG13283::I1KG132830692.jpg/full/max/0/default.jpg,,,,,,
343a,གསུམ་བརྒྱ་ ཞེ་གསུམ་,https://iiif.bdrc.io/bdr:V1KG13126_I1KG13283::I1KG132830693.jpg/full/max/0/default.jpg,,,,,,
343b,,https://iiif.bdrc.io/bdr:V1KG13126_I1KG13283::I1KG132830694.jpg/full/max/0/default.jpg,,,,,,
344a,གསུམ་བརྒྱ་ ཞེ་བཞི་,https://iiif.bdrc.io/bdr:V1KG13126_I1KG13283::I1KG132830695.jpg/full/max/0/default.jpg,,,,,,
344b,,https://iiif.bdrc.io/bdr:V1KG13126_I1KG13283::I1KG132830696.jpg/full/max/0/default.jpg,,,,,,
345a,གསུམ་བརྒྱ་ ཞེ་ལྔ་,https://iiif.bdrc.io/bdr:V1KG13126_I1KG13283::I1KG132830697.jpg/full/max/0/default.jpg,,,,,,
345b,,https://iiif.bdrc.io/bdr:V1KG13126_I1KG13283::I1KG132830698.jpg/full/max/0/default.jpg,,,,,,
346a,གསུམ་བརྒྱ་ ཞེ་དྲུག་,https://iiif.bdrc.io/bdr:V1KG13126_I1KG13283::I1KG132830699.jpg/full/max/0/default.jpg,,,,,,
346b,,https://iiif.bdrc.io/bdr:V1KG13126_I1KG13283::I1KG132830700.jpg/full/max/0/default.jpg,,,,,,
347a,གསུམ་བརྒྱ་ ཞེ་བདུན་,https://iiif.bdrc.io/bdr:V1KG13126_I1KG13283::I1KG132830701.jpg/full/max/0/default.jpg,,,,,,
347b,,https://iiif.bdrc.io/bdr:V1KG13126_I1KG13283::I1KG132830702.jpg/full/max/0/default.jpg,,,,,,
348a,གསུམ་བརྒྱ་ ཞེ་བརྒྱད་,https://iiif.bdrc.io/bdr:V1KG13126_I1KG13283::I1KG132830703.jpg/full/max/0/default.jpg,,,,,,
