None,None,སྡེ་དགེ་ཨང་།,མགོ་ཤོག,ཤོག་གྲངས།,མཇུག་ཤོག,ཤོག་གྲངས། ,པེ་ཅིན་ཨང་།,མགོ་ཤོག ,ཤོག་གྲངས།,མཇུག་ཤོག,ཤོག་གྲངས།,སྣར་ཐང་ཨང་།,མགོ་ཤོག ,ཤོག་གྲངས།,མཇུག་ཤོག ,ཤོག་གྲངས།,ཅོ་ནེ་ཨང་།,མགོ་ཤོག,ཤོག་གྲངས།,མཇུག་ཤོག,None,གསེར་བྲིས་མའི་ཨང་།,མགོ་ཤོག,ཤོག་གྲངས།,མཇུག་ཤོག,ཤོག་གྲངས།,None
rktsid,None,dergeid,dergevolb,dergepageb,dergevole,dergepagee,pecingid,pecingvolb,pecingpageb,pecingvole,pecingpagee,narthangid,narthangvolb,narthangpageb,narthangvole,narthangpagee,coneid,conevolb,conepageb,conevole,conepagee,gandenid,gandenvolb,gandenpageb,gandenvole,gandenpagee,None
3299.0,མི་དགེ་བ་བཅུའི་ལས་ཀྱི་ལམ་བསྟན་པ,D3958,(no check),None,None,None,Q5396,mdo 'grel (dbu ma), gi,39b6,mdo 'grel (dbu ma), gi,41a3,None,mdo 'grel (dbu ma), gi,33a3,mdo 'grel (dbu ma), gi,34a5,None,None,None,None,None,GT3399,mdo 'grel, gi,41b1,mdo 'grel, gi,42b6,None
3299.0,མི་དགེ་བ་བཅུའི་ལས་ཀྱི་ལམ་བསྟན་པ,D3958,(no check),None,None,None,Q5416,dbu ma, gi,105a4,dbu ma, gi,106a5,N4144,(no check),None,None,None,None,None,None,None,None,GT3419,mdo 'grel, gi,118b1,mdo 'grel, gi,120a1,None
3300.0,ལས་རྣམ་པར་འབྱེད་པ,D3959,mdo 'grel (dbu ma), khi,308a1,mdo 'grel (dbu ma), khi,312b3,Q5356,mdo 'grel (dbu ma), ki,358a5,mdo 'grel (dbu ma), ki,364a1,N4145,mdo 'grel (dbu ma), ki,354a6,mdo 'grel (dbu ma), ki,360a2,C3926,mdo 'grel (dbu ma), khi,315a3,mdo 'grel (dbu ma), khi,320a6,GT3359,mdo 'grel, ki,498a1,mdo 'grel, ki,506a6,None
3300.0,ལས་རྣམ་པར་འབྱེད་པ,D3959,(no check),None,None,None,Q5397,mdo 'grel (dbu ma), gi,41a3,mdo 'grel (dbu ma), gi,46b8,None,mdo 'grel (dbu ma), gi,34a5,mdo 'grel (dbu ma), gi,39b1,None,None,None,None,None,GT3400,mdo 'grel, gi,42b6,mdo 'grel, gi,49a4,None
4023.0,སྤྱོད་པ་བསྡུས་པའི་སྒྲོན་མ།,D3960,mdo 'grel (dbu ma), khi,312b3,mdo 'grel (dbu ma), khi,313a7,Q5357,mdo 'grel (dbu ma), ki,364a2,mdo 'grel (dbu ma), ki,365a6,N4146,mdo 'grel (dbu ma), ki,360a2,mdo 'grel (dbu ma), ki,361a3,C2413,mdo 'grel (dbu ma), khi,320a7,mdo 'grel (dbu ma), khi,321a7,GT3382,mdo 'grel, ki,507a1,mdo 'grel, ki,509a6,None
None,སྤྱོད་པ་བསྡུས་པའི་སྒྲོན་མ།,None,None,None,None,None,Q5379,mdo 'grel (dbu ma), gi,5b5,mdo 'grel (dbu ma), gi,6b7,None,mdo 'grel (dbu ma), gi,6a1,mdo 'grel (dbu ma), gi,7a1,None,None,None,None,None,GT3382,mdo 'grel, gi,6a5,mdo 'grel, gi,7b1,None
3302.0,མདོ་ཀུན་ལས་བཏུས་པ་ཆེན་པོ,D3961,mdo 'grel (dbu ma), gi,1b1,mdo 'grel (dbu ma), gi,198a7,Q5358,mdo 'grel (dbu ma), khi,1b1,mdo 'grel (dbu ma), khi,231a2,N4147,mdo 'grel (dbu ma), khi,1b1,mdo 'grel (dbu ma), khi,225b1,C3928,mdo 'grel (dbu ma), gi,1b1,mdo 'grel (dbu ma), gi,209b1,GT3361,mdo 'grel, khi,1a1,mdo 'grel, khi,301a6,None
3307.0,བྱང་ཆུབ་ཏུ་སེམས་བསྐྱེད་པའི་ཆོ་ག,D3966,mdo 'grel (dbu ma), gi,237a4,mdo 'grel (dbu ma), gi,239a4,Q5361,mdo 'grel (dbu ma), khi,274a8,mdo 'grel (dbu ma), khi,276b6,N4150,mdo 'grel (dbu ma), khi,264a3,mdo 'grel (dbu ma), khi,266b1,C4052,mdo 'grel (dbu ma), gi,248a4,mdo 'grel (dbu ma), gi,250a4,GT3364,mdo 'grel, khi,361a3,mdo 'grel, khi,364b2,None
3307.0,བྱང་ཆུབ་ཏུ་སེམས་བསྐྱེད་པའི་ཆོ་ག,D3966,(no check),None,None,None,Q5405,mdo 'grel (dbu ma), gi,57b1,mdo 'grel (dbu ma), gi,60a2,None,mdo 'grel (dbu ma), gi,49a1,mdo 'grel (dbu ma), gi,51a5,None,None,None,None,None,GT3408,mdo 'grel, gi,62b3,mdo 'grel, gi,65b1,None
3310.0,སེམས་བསྐྱེད་པ་དང་སྡོམ་པའི་ཆོ་གའི་རིམ་པ,D3969,mdo 'grel (dbu ma), gi,245a2,mdo 'grel (dbu ma), gi,248b2,Q5364,mdo 'grel (dbu ma), khi,284a1,mdo 'grel (dbu ma), khi,288a6,N4153,mdo 'grel (dbu ma), khi,273a1,mdo 'grel (dbu ma), khi,276b7,C3936,mdo 'grel (dbu ma), gi,256a3,mdo 'grel (dbu ma), gi,259b3,GT3408,mdo 'grel, khi,373b5,mdo 'grel, khi,379a6,None
3310.0,སེམས་བསྐྱེད་པ་དང་སྡོམ་པའི་ཆོ་གའི་རིམ་པ,D3969,(no check),None,None,None,Q5403,mdo 'grel (dbu ma), gi,50a1,mdo 'grel (dbu ma), gi,54a5,None,mdo 'grel (dbu ma), gi,42a6,mdo 'grel (dbu ma), gi,46a3,None,None,None,None,None,GT3406,mdo 'grel, gi,54a6,mdo 'grel, gi,59a3,None
3312.0,གསུམ་ལ་སྐྱབས་སུ་འགྲོ་བ་བདུན་ཅུ་པ,D3971,mdo 'grel (dbu ma), gi,251a1,mdo 'grel (dbu ma), gi,253b2,Q5366,mdo 'grel (dbu ma), khi,291a7,mdo 'grel (dbu ma), khi,295a2,N4155,mdo 'grel (dbu ma), khi,279b3,mdo 'grel (dbu ma), khi,282b1,C3938,mdo 'grel (dbu ma), gi,262a1,mdo 'grel (dbu ma), gi,264b2,GT3369,mdo 'grel, khi,383a3,mdo 'grel, khi,387a5,None
3312.0,གསུམ་ལ་སྐྱབས་སུ་འགྲོ་བ་བདུན་ཅུ་པ,D3971,(no check),None,None,None,Q5478,mdo 'grel (dbu ma), gi,242a2,mdo 'grel (dbu ma), gi,245a6,None,mdo 'grel (dbu ma), gi,230b2,mdo 'grel (dbu ma), gi,233b3,None,None,None,None,None,GT3481,mdo 'grel, gi,292b4,mdo 'grel, gi,296b2,None
3314.0,ལྟུང་བ་བཤགས་པའི་ཆོ་ག,D3973,mdo 'grel (dbu ma), gi,254a1,mdo 'grel (dbu ma), gi,255a3,Q5368,mdo 'grel (dbu ma), khi,295b4,mdo 'grel (dbu ma), khi,297a4,N4157,mdo 'grel (dbu ma), khi,282b7,mdo 'grel (dbu ma), khi,284a4,C3940,mdo 'grel (dbu ma), gi,266a3,mdo 'grel (dbu ma), gi,266b2,GT3371,mdo 'grel, khi,388a1,mdo 'grel, khi,389b5,None
3315.0,ཁ་ཏོན་གླེགས་བམ་ཀློག་པའི་སྔོན་དུ་བྱ་བའི་ཆོ་ག,D3975,mdo 'grel (dbu ma), gi,255b3,mdo 'grel (dbu ma), gi,256a2,Q5376,mdo 'grel (dbu ma), khi,304b6,mdo 'grel (dbu ma), khi,305a8,None,mdo 'grel (dbu ma), khi,290a4,mdo 'grel (dbu ma), khi,290b5,C3942,mdo 'grel (dbu ma), gi,266b3,mdo 'grel (dbu ma), gi,267a2,GT3379,mdo 'grel, khi,398a1,mdo 'grel, khi,398b3,None
3315.0,ཁ་ཏོན་གླེགས་བམ་ཀློག་པའི་སྔོན་དུ་བྱ་བའི་ཆོ་ག,D3975,(no check),None,None,None,Q5400,mdo 'grel (dbu ma), gi,48a4,mdo 'grel (dbu ma), gi,48b4,N4165,mdo 'grel (dbu ma), gi,40b3,mdo 'grel (dbu ma), gi,41a2,None,None,None,None,None,GT3403,mdo 'grel, gi,50b3,mdo 'grel, gi,51a5,None
3316.0,ཕ་རོལ་ཏུ་ཕྱིན་པའི་ཐེག་པའི་སཙྪ་གདབ་པའི་ཆོ་ག,D3976,mdo 'grel (dbu ma), gi,256a2,mdo 'grel (dbu ma), gi,256b1,Q5373,mdo 'grel (dbu ma), khi,301b2,mdo 'grel (dbu ma), khi,302a5,N4162,mdo 'grel (dbu ma), khi,287b3,mdo 'grel (dbu ma), khi,288a4,C3943,mdo 'grel (dbu ma), gi,267a2,mdo 'grel (dbu ma), gi,267b2,GT3404,mdo 'grel, khi,394b3,mdo 'grel, khi,395a6,None
3316.0,ཕ་རོལ་ཏུ་ཕྱིན་པའི་ཐེག་པའི་སཙྪ་གདབ་པའི་ཆོ་ག,D3976,(no check),None,None,None,Q5401,mdo 'grel (dbu ma), gi,48b4,mdo 'grel (dbu ma), gi,49a5,None,mdo 'grel (dbu ma), gi,41a2,mdo 'grel (dbu ma), gi,41b2,None,None,None,None,None,GT3404,mdo 'grel, gi,51a5,mdo 'grel, gi,52a2,None
3317.0,བླ་མའི་བྱ་བའི་རིམ་པ,D3977,mdo 'grel (dbu ma), gi,256b2,mdo 'grel (dbu ma), gi,257a4,Q5374,mdo 'grel (dbu ma), khi,302a5,mdo 'grel (dbu ma), khi,303a4,N4163,mdo 'grel (dbu ma), khi,288a4,mdo 'grel (dbu ma), khi,288b7,C3944,mdo 'grel (dbu ma), gi,267b2,mdo 'grel (dbu ma), gi,268a3,GT3405,mdo 'grel, gi,53a1,mdo 'grel, gi,54a5,None
3317.0,བླ་མའི་བྱ་བའི་རིམ་པ,D3977,(no check),None,None,None,Q5402,mdo 'grel (dbu ma), gi,49a5,mdo 'grel (dbu ma), gi,50a1,None,mdo 'grel (dbu ma), gi,41b2,mdo 'grel (dbu ma), gi,42a6,None,None,None,None,None,GT3377,mdo 'grel, khi,395a6,mdo 'grel, khi,396a5,None
3321.0,འཕགས་པ་དགོངས་པ་ངེས་པར་འགྲེལ་པའི་རྣམ་པར་བཤད་པ,D3981,mdo 'grel (mdo), ngi,1b1,mdo 'grel (mdo), ngi,11b5,Q5481,mdo tshogs 'grel pa, ngi,1b1,mdo tshogs 'grel pa, ngi,14a1,N4270,mdo 'grel (mdo), ngi,1b1,mdo 'grel (mdo), ngi,13a7,C3948,mdo 'grel (mdo), ngi,1b1,mdo 'grel (mdo), ngi,11b6,GT3484,mdo 'grel, ngi,1a1,mdo 'grel, ngi,15a5,None
3322.0,སངས་རྒྱས་རྗེས་སུ་དྲན་པའི་འགྲེལ་པ,D3982,mdo 'grel (mdo), ngi,11b5,mdo 'grel (mdo), ngi,15a6,Q5482,mdo tshogs 'grel pa, ngi,14a1,mdo tshogs 'grel pa, ngi,18b1,N4271,mdo 'grel (mdo), ngi,13a7,mdo 'grel (mdo), ngi,17a7,C3949,mdo 'grel (mdo), ngi,11b7,mdo 'grel (mdo), ngi,15b4,GT3485,mdo 'grel, ngi,16a1,mdo 'grel, ngi,21a5,None
3323.0,ཆོས་རྗེས་སུ་དྲན་པའི་འགྲེལ་པ,D3983,mdo 'grel (mdo), ngi,15a6,mdo 'grel (mdo), ngi,15b7,Q5483,mdo tshogs 'grel pa, ngi,18b1,mdo tshogs 'grel pa, ngi,19a5,N4272,mdo 'grel (mdo), ngi,17a7,mdo 'grel (mdo), ngi,18b1,C3950.1,mdo 'grel (mdo), ngi,15b4,mdo 'grel (mdo), ngi,16a5,GT3486,mdo 'grel, ngi,21a5,mdo 'grel, ngi,22a2,None
3324.0,དགེ་འདུན་རྗེས་སུ་དྲན་པའི་བཤད་པ,D3984,mdo 'grel (mdo), ngi,15b7,mdo 'grel (mdo), ngi,18a3,Q5484,mdo tshogs 'grel pa, ngi,19a5,mdo tshogs 'grel pa, ngi,22a3,N4273,mdo 'grel (mdo), ngi,18b1,mdo 'grel (mdo), ngi,20a5,C3950.2,mdo 'grel (mdo), ngi,16a5,mdo 'grel (mdo), ngi,18a7,GT3487,mdo 'grel, ngi,22a2,mdo 'grel, ngi,25a3,None
3325.0,འཕགས་པ་སཱ་ལུ་ལྗང་པའི་ཚིག་ལེའུར་བྱས་པ,D3985,mdo 'grel (mdo), ngi,18a3,mdo 'grel (mdo), ngi,20b4,Q5485,mdo tshogs 'grel pa, ngi,22a3,mdo tshogs 'grel pa, ngi,25a6,N4255,mdo 'grel (mdo), ngi,20a5,mdo 'grel (mdo), ngi,22b7,C3951,mdo 'grel (mdo), ngi,18a7,mdo 'grel (mdo), ngi,20b7,GT3469,mdo 'grel, gi,258a4,mdo 'grel, gi,262a1,None
3325.0,འཕགས་པ་སཱ་ལུ་ལྗང་པའི་ཚིག་ལེའུར་བྱས་པ,D3985,(no check),None,None,None,Q5466,mdo tshogs 'grel pa, gi,213a1,mdo tshogs 'grel pa, gi,216a7,None,mdo 'grel (dbu ma), gi,203a7,mdo 'grel (dbu ma), gi,206a5,None,None,None,None,None,GT3488,mdo 'grel, ngi,26b1,mdo 'grel, ngi,29b3,None
3326.0,འཕགས་པ་སཱ་ལུ་ལྗང་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོའི་རྒྱ་ཆེར་བཤད་པ,D3986,mdo 'grel (mdo), ngi,20b4,mdo 'grel (mdo), ngi,55b3,Q5486,mdo tshogs 'grel pa, ngi,25a6,mdo tshogs 'grel pa, ngi,69a6,N4275,mdo 'grel (mdo), ngi,22b7,mdo 'grel (mdo), ngi,63a4,C3952,mdo 'grel (mdo), ngi,20b7,mdo 'grel (mdo), ngi,57a7,GT3489,mdo 'grel, ngi,30b1,mdo 'grel, ngi,79b3,None
3327.0,སངས་རྒྱས་རྗེས་སུ་དྲན་པའི་རྒྱ་ཆེར་འགྲེལ་པ,D3987,mdo 'grel (mdo), ngi,55b3,mdo 'grel (mdo), ngi,63b5,Q5487,mdo tshogs 'grel pa, ngi,69a6,mdo tshogs 'grel pa, ngi,79b8,N4276,mdo 'grel (mdo), ngi,63a4,mdo 'grel (mdo), ngi,72b1,C3953,mdo 'grel (mdo), ngi,57b1,mdo 'grel (mdo), ngi,66a3,GT3490,mdo 'grel, ngi,80b1,mdo 'grel, ngi,92b1,None
3328.0,ཚིགས་སུ་བཅད་པ་གཅིག་པའི་བཤད་པ,D3988,mdo 'grel (mdo), ngi,63b5,mdo 'grel (mdo), ngi,64b6,Q5488,mdo tshogs 'grel pa, ngi,79b8,mdo tshogs 'grel pa, ngi,81a7,N4277,mdo 'grel (mdo), ngi,72b2,mdo 'grel (mdo), ngi,73b5,C3954,mdo 'grel (mdo), ngi,66a3,mdo 'grel (mdo), ngi,67a4,GT3491,mdo 'grel, ngi,93b1,mdo 'grel, ngi,95a2,None
3329.0,སྒོ་དྲུག་པའི་གཟུངས་ཀྱི་རྣམ་པར་བཤད་པ།,D3989,mdo 'grel (mdo), ngi,64b6,mdo 'grel (mdo), ngi,66a2,Q5489,mdo tshogs 'grel pa, ngi,81a8,mdo tshogs 'grel pa, ngi,83a2,N4278,mdo 'grel (mdo), ngi,73b5,mdo 'grel (mdo), ngi,75a3,C3955,mdo 'grel (mdo), ngi,67a4,mdo 'grel (mdo), ngi,68b1,GT3492,mdo 'grel, ngi,95a2,mdo 'grel, ngi,96b5,None
3330.0,འཕགས་པ་ཆོས་བཞི་པའི་རྣམ་པར་བཤད་པ,D3990,mdo 'grel (mdo), ngi,66a2,mdo 'grel (mdo), ngi,66b7,Q5490,mdo tshogs 'grel pa, ngi,83a2,mdo tshogs 'grel pa, ngi,84a5,N4279,mdo 'grel (mdo), ngi,75a3,mdo 'grel (mdo), ngi,76a3,C3956,mdo 'grel (mdo), ngi,68b1,mdo 'grel (mdo), ngi,69a7,GT3493,mdo 'grel, ngi,96b5,mdo 'grel, ngi,98a4,None
3331.0,འཕགས་པ་ག་ཡ་མགོའི་རི་ཞེས་བྱ་བའི་མདོའི་རྣམ་པར་བཤད་པ,D3991,mdo 'grel (mdo), ngi,71b3,mdo 'grel (mdo), ngi,76a7,Q5492,mdo tshogs 'grel pa, ngi,90a5,mdo tshogs 'grel pa, ngi,96a7,N4281,mdo 'grel (mdo), ngi,81a2,mdo 'grel (mdo), ngi,86b6,C4054,mdo 'grel (mdo), ngi,74a3,mdo 'grel (mdo), ngi,79a3,GT3495,mdo 'grel, ngi,106b1,mdo 'grel, ngi,113a6,None
3333.0,འཕགས་པ་ས་བཅུ་པའི་རྣམ་པར་བཤད་པ,D3993,mdo 'grel (mdo), ngi,103b1,mdo 'grel (mdo), ngi,266a7,Q5494,mdo tshogs 'grel pa, ngi,130b3,mdo tshogs 'grel pa, ngi,335a4,N4283,mdo 'grel (mdo), ngi,118a3,mdo 'grel (mdo), ngi,324a6,C4056,mdo 'grel (mdo), ngi,106b1,mdo 'grel (mdo), ngi,271a7,GT3497,mdo 'grel, ngi,153b1,mdo 'grel, ngi,399a5,None
3334.0,འཕགས་པ་བློ་གྲོས་མི་ཟད་པས་བསྟན་པ་རྒྱ་ཆེར་འགྲེལ་པ,D3994,mdo 'grel (mdo), ci,1b1,mdo 'grel (mdo), ci,269a7,Q5495,mdo tshogs 'grel pa, ci,1b1,mdo tshogs 'grel pa, ci,343a7,N4284,mdo 'grel (mdo), ci,1a1,mdo 'grel (mdo), ci,309a5,C3961,mdo 'grel (mdo), ci,1b1,mdo 'grel (mdo), ci,269a7,GT3498,mdo 'grel, ci,1a1,mdo 'grel, ci,406a6,None
3335.0,རྟེན་ཅིང་འབྲེལ་བར་འབྱུང་བ་དང་པོའི་རྣམ་པར་དབྱེ་བ་བཤད་པ,D3995,mdo 'grel (mdo), chi,1b1,mdo 'grel (mdo), chi,61a7,Q5496,mdo tshogs 'grel pa, chi,1b1,mdo tshogs 'grel pa, chi,71a8,N4285,mdo 'grel (mdo), chi,1a1,mdo 'grel (mdo), chi,69b3,C3962,mdo 'grel (mdo), chi,1b1,mdo 'grel (mdo), chi,64a1,GT3499,mdo 'grel, chi,1a1,mdo 'grel, chi,102a4,None
3340.0,འཕགས་པ་རྣམ་པར་མི་རྟོག་པར་འཇུག་པའི་གཟུངས་ཀྱི་རྒྱ་ཆེར་འགྲེལ་པ,D4000,mdo 'grel (mdo), ji,123a3,mdo 'grel (mdo), ji,145b5,Q5501,mdo tshogs 'grel pa, ji,146b6,mdo tshogs 'grel pa, ji,174b1,N4290,mdo 'grel (mdo), ji,145a5,mdo 'grel (mdo), ji,171a2,C3967,mdo 'grel (mdo), ji,123a2,mdo 'grel (mdo), ji,145b5,GT3504,mdo 'grel, ji,178b1,mdo 'grel, ji,212b6,None
3341.0,སཱ་ལུ་ལྗང་པ་རྒྱ་ཆེར་འགྲེལ་པ,D4001,mdo 'grel (mdo), ji,145b5,mdo 'grel (mdo), ji,163b4,Q5502,mdo tshogs 'grel pa, ji,174b1,mdo tshogs 'grel pa, ji,196b2,N4291,mdo 'grel (mdo), ji,171a2,mdo 'grel (mdo), ji,172a5,C3968,mdo 'grel (mdo), ji,145b5,mdo 'grel (mdo), ji,163b4,GT3505,mdo 'grel, ji,213b1,mdo 'grel, ji,239b6,None
3344.0,འཕགས་པ་འདའ་ཀ་ཡེ་ཤེས་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོའི་འགྲེལ་པ,D4004,mdo 'grel (mdo), ji,174a3,mdo 'grel (mdo), ji,178a4,Q5505,mdo tshogs 'grel pa, ji,209b7,mdo tshogs 'grel pa, ji,215a4,N4294,mdo 'grel (mdo), ji,204b6,mdo 'grel (mdo), ji,209b7,C3971,mdo 'grel (mdo), ji,174a3,mdo 'grel (mdo), ji,178a3,GT3508,mdo 'grel, ji,257b1,mdo 'grel, ji,263b3,None
3345.0,བྱང་ཆུབ་ཀྱི་ལྟུང་བ་བཤགས་པའི་འགྲེལ་པ,D4005,mdo 'grel (mdo), ji,178a4,mdo 'grel (mdo), ji,187b3,Q5506,mdo tshogs 'grel pa, ji,215a4,mdo tshogs 'grel pa, ji,227a6,N4295,mdo 'grel (mdo), ji,209a7,mdo 'grel (mdo), ji,221b1,C3972,mdo 'grel (mdo), ji,178a3,mdo 'grel (mdo), ji,188a2,GT3509,mdo 'grel, ji,264b1,mdo 'grel, ji,278b4,None
3347.0,ལས་ཀྱི་སྒྲིབ་པ་རྣམ་པར་སྦྱོང་བའི་ཆོ་ག་བཤད་པ,D4007,mdo 'grel (mdo), ji,194a3,mdo 'grel (mdo), ji,198b6,Q5508,mdo tshogs 'grel pa, ji,236a3,mdo tshogs 'grel pa, ji,242b7,N4297,mdo 'grel (mdo), ji,229b6,mdo 'grel (mdo), ji,236a,C3974,mdo 'grel (mdo), ji,195b4,mdo 'grel (mdo), ji,ཆད,GT3511,mdo 'grel, ji,290b1,mdo 'grel, ji,297b6,None
3351.0,འཕགས་པ་བཟང་པོ་སྤྱོད་པའི་སྨོན་ལམ་གྱི་རྒྱལ་པོ་ཆེན་པོའི་བཤད་སྦྱར,D4011,mdo 'grel (mdo), nyi,163b4,mdo 'grel (mdo), nyi,182a1,Q5512,mdo tshogs 'grel pa, nyi,189b7,mdo tshogs 'grel pa, nyi,211a2,N4301,mdo 'grel (mdo), nyi,185a5,mdo 'grel (mdo), nyi,206a4,C3978,mdo 'grel (mdo), nyi,167b7,mdo 'grel (mdo), nyi,187a1,GT3515,mdo 'grel, nyi,231b1,mdo 'grel, nyi,256b6,None
3352.0,ཀུན་ཏུ་བཟང་པོའི་སྤྱོད་པའི་སྨོན་ལམ་གྱི་རྒྱལ་པོའི་བཤད་པ,D4012,mdo 'grel (mdo), nyi,182a1,mdo 'grel (mdo), nyi,201a4,Q5513,mdo tshogs 'grel pa, nyi,211a2,mdo tshogs 'grel pa, nyi,231a5,N4302,mdo 'grel (mdo), nyi,206a5,mdo 'grel (mdo), nyi,227b7,C3979,mdo 'grel (mdo), nyi,187a1,mdo 'grel (mdo), nyi,206a4,GT3516,mdo 'grel, nyi,257b1,mdo 'grel, nyi,283a6,None
3354.0,འཕགས་པ་བཟང་པོ་སྤྱོད་པའི་སྨོན་ལམ་གྱི་འགྲེལ་པ,D4015,mdo 'grel (mdo), nyi,252b5,mdo 'grel (mdo), nyi,269a7,Q5516,mdo tshogs 'grel pa, nyi,288a3,mdo tshogs 'grel pa, nyi,308a8,N4305,mdo 'grel (mdo), nyi,290a7,mdo 'grel (mdo), nyi,312a4,C3982,mdo 'grel (mdo), nyi,256b1,mdo 'grel (mdo), nyi,274a6,GT3519,mdo 'grel, nyi,359b1,mdo 'grel, nyi,385b2,None
3355.0,འཕགས་པ་དགོངས་པ་ཟབ་མོ་ངེས་པར་འགྲེལ་པའི་མདོ་རྒྱ་ཆེར་བཤད་པ,D4016,mdo 'grel (mdo), ti,1b1,mdo 'grel (mdo), di,291a7,Q5517,mdo tshogs 'grel pa, ti,1b1,mdo tshogs 'grel pa, di,396a8,N4306,mdo 'grel (mdo), ti,1a1,mdo 'grel (mdo), ti,316a5,C3983,mdo 'grel (mdo), ti,1b1,mdo 'grel (mdo), ti,293a7,GT3520,mdo 'grel, ti,1b1,mdo 'grel, ti,427b5,None
3356.0,དམ་པའི་ཆོས་པདྨ་དཀར་པོའི་འགྲེལ་པ,D4017,mdo 'grel (mdo), di,175b1,mdo 'grel (mdo), di,302a7,Q5518,mdo tshogs 'grel pa, di,198a5,mdo tshogs 'grel pa, di,347a8,N4307,mdo 'grel (mdo), di,188a2,mdo 'grel (mdo), di,329a4,C4058,mdo 'grel (mdo), di,180a7,mdo 'grel (mdo), di,340a7,GT3521,mdo 'grel, di,263b1,mdo 'grel, di,458a6,None
3364.0,ཐེག་པ་ཆེན་པོ་རྒྱུད་བླ་མའི་བསྟན་བཅོས་རྣམ་པར་བཤད་པ,D4025,mdo 'grel (sems tsam), phi,74b1,mdo 'grel (sems tsam), phi,129a7,Q5526,sems tsam, phi,74b6,sems tsam, phi,135b7,N4315,mdo 'grel (sems tsam), phi,69a3,mdo 'grel (sems tsam), phi,129b7,C4066,sems tsam, phi,69a1,sems tsam, phi,124b1,GT3529,mdo 'grel, phi,90b1,mdo 'grel, phi,169b6,None
3365.0,མདོ་སྡེའི་རྒྱན་གྱི་བཤད་པ,D4026,mdo 'grel (sems tsam), phi,129b1,mdo 'grel (sems tsam), phi,260a7,Q5527,sems tsam, phi,135b7,sems tsam, phi,287a8,N4316,mdo 'grel (sems tsam), phi,129b7,mdo 'grel (sems tsam), phi,279a5,C4067-4086,sems tsam, phi,124b1,sems tsam, phi,255a7,GT3530,mdo 'grel, phi,170b1,mdo 'grel, phi,371a2,None
sems tsam,,དབུས་དང་མཐའ་རྣམ་པར་འབྱེད་པའི་འགྲེལ་པ,D4027,mdo 'grel (sems tsam), bi,1b1,mdo 'grel (sems tsam), bi,27a7,Q5528,sems tsam, bi,1b1,sems tsam, bi,32b7,N4317,mdo 'grel, bi,1b1,mdo 'grel, bi,29b4,C4087,sems tsam, bi,1b1,sems tsam, bi,27b1,GT3531,mdo 'grel, bi,1a1,mdo 'grel, bi,34b6,None
3367.0,ཆོས་དང་ཆོས་ཉིད་རྣམ་པར་འབྱེད་པའི་འགྲེལ་པ,D4028,mdo 'grel (sems tsam), bi,27b1,mdo 'grel (sems tsam), bi,38b6,Q5529,sems tsam, bi,32b7,sems tsam, bi,45a5,N4318,mdo 'grel, bi,29b5,mdo 'grel, bi,41a7,C3995,sems tsam, bi,27b1,sems tsam, bi,38b5,GT3532,mdo 'grel, bi,35b1,mdo 'grel, bi,48b6,None
3374.0,རྣལ་འབྱོར་སྤྱོད་པའི་ས་ལས་དངོས་གཞིའི་ས་མང་པོ,D4035,mdo 'grel (sems tsam), tshi,1b1,mdo 'grel (sems tsam), tshi,283a7,Q5536,sems tsam, dzi,1b1,sems tsam, dzi,332a8,N4325,mdo 'grel, dzi,1b1,mdo,dzi,388a5,C4089,sems tsam, tshi,1a1,sems tsam, tshi,285a7,GT3539,mdo 'grel, dzi,1a1,mdo 'grel, dzi,412a4,None
3375.0,རྣལ་འབྱོར་སྤྱོད་པའི་ས་ལས་ཉན་ཐོས་ཀྱི་ས,D4036,mdo 'grel (sems tsam), dzi,1b1,mdo 'grel (sems tsam), dzi,195a7,Q5537,sems tsam, wi,1b1,sems tsam, wi,236a8,N4326,mdo 'grel,wi,1b1,mdo 'grel,wi,209a5,C4090,sems tsam, dzi,1a1,sems tsam, dzi,201a7,GT3540,mdo 'grel, wi,1a1,mdo 'grel, wi,281a4,None
3376.0,རྣལ་འབྱོར་སྤྱོད་པའི་ས་ལས་བྱང་ཆུབ་སེམས་དཔའི་ས,D4037,mdo 'grel (sems tsam), wi,1b1,mdo 'grel (sems tsam), wi,213a7,Q5538,sems tsam, zhi,1b1,sems tsam, zhi,247a8,N4327,mdo 'grel,zhi,1b1,mdo 'grel,zhi,240b4,C4091,sems tsam, wi,1b1,sems tsam, wi,215a7,GT3541,mdo 'grel, zhi,1a1,mdo 'grel, zhi,328a5,None
3377.0,རྣལ་འབྱོར་སྤྱོད་པའི་ས་རྣམ་པར་གཏན་ལ་དབབ་པ་བསྡུ་བ,D4038,mdo 'grel (sems tsam), zhi,1b1,mdo 'grel (sems tsam), zi,127a4,Q5539,sems tsam, zi,1b1,sems tsam, 'i,142b8,N4328,mdo 'grel, zi,1b1,mdo 'grel, zi,317a3,C4098,sems tsam, zhi,1a1,sems tsam, zhi,296a7,GT3542,mdo 'grel, zi,1a1,mdo 'grel, zi,398a3,None
