None,None,སྡེ་དགེ་ཨང་།,མགོ་ཤོག,ཤོག་གྲངས།,མཇུག་ཤོག,ཤོག་གྲངས། ,པེ་ཅིན་ཨང་།,མགོ་ཤོག ,ཤོག་གྲངས།,མཇུག་ཤོག,ཤོག་གྲངས།,སྣར་ཐང་ཨང་།,མགོ་ཤོག ,ཤོག་གྲངས།,མཇུག་ཤོག ,ཤོག་གྲངས།,ཅོ་ནེ་ཨང་།,མགོ་ཤོག,ཤོག་གྲངས།,མཇུག་ཤོག,None,གསེར་བྲིས་མའི་ཨང་།,མགོ་ཤོག,ཤོག་གྲངས།,མཇུག་ཤོག,ཤོག་གྲངས།,None
rktsid,None,dergeid,dergevolb,dergepageb,dergevole,dergepagee,pecingid,pecingvolb,pecingpageb,pecingvole,pecingpagee,narthangid,narthangvolb,narthangpageb,narthangvole,narthangpagee,coneid,conevolb,conepageb,conevole,conepagee,gandenid,gandenvolb,gandenpageb,gandenvole,gandenpagee,None
37.0,དཀོན་མཆོག་གསུམ་གྱི་བསྟོད་པ,D1146,bstod tshogs, ka,109b7,bstod tshogs, ka,110a2,Q2037,bstod tshogs, ka,128b8,bstod tshogs, ka,129a3,N826,bstod tshogs, ka,121b6,bstod tshogs, ka,122a1,C1093,bstod tshogs, ka , 127a5,bstod tshogs, ka ,127b1,GT37,bstod tshogs, ka,158a3,bstod tshogs, ka,158a6,None
41.0,སྤེལ་མར་བསྟོད་པ,D1150,bstod tshogs, ka,181a2,bstod tshogs, ka,193b4,Q2041,bstod tshogs, ka,214a1,bstod tshogs, ka,228a3,N830,bstod tshogs, ka,199b7,bstod tshogs, ka,213a5,C1097,bstod tshogs, ka ,210b5,bstod tshogs, ka ,225a5,GT41,bstod tshogs, ka,260b1,bstod tshogs, ka,276b6,None
45.0,ཡོན་ཏན་མཐའ་ཡས་པར་བསྟོད་པའི་འགྲེལ་པ,D1156,bstod tshogs, ka,200b1,bstod tshogs, ka,203a1,Q2045,bstod tshogs, ka,234a6,bstod tshogs, ka,237a4,N834,bstod tshogs, ka,219a6,bstod tshogs, ka,222a3,C1101,bstod tshogs, ka ,231b6,bstod tshogs, ka ,234b7,GT45,bstod tshogs, ka,286a3,bstod tshogs, ka,289b3,None
45.0,ཡོན་ཏན་མཐའ་ཡས་པར་བསྟོད་པའི་འགྲེལ་པ,D1156,(no check),None,None,None,Q5474,dbu ma, gi,233a2,dbu ma, gi,236a1,None,dbu ma, gi,221b4,dbu ma, gi,224b3,C1197,(no check),None,None,None,GT3477,mdo 'grel, gi,281b4,mdo 'grel, gi,285a6,None
46.0,ཡོན་ཏན་མཐའ་ཡས་པར་བསྟོད་པའི་དོན་གྱི་ཚིག་ལེའུར་བྱས་པ,D1157,bstod tshogs, ka,203a1,bstod tshogs, ka,203b1,Q2046,bstod tshogs, ka,237a4,bstod tshogs, ka,237b5,N835,bstod tshogs, ka,222a3,bstod tshogs, ka,222b5,C1102,bstod tshogs, ka ,234b7,bstod tshogs, ka ,235b2,GT46,bstod tshogs, ka,290b1,bstod tshogs, ka,291a3,None
46.0,ཡོན་ཏན་མཐའ་ཡས་པར་བསྟོད་པའི་དོན་གྱི་ཚིག་ལེའུར་བྱས་པ,D1157,(no check),None,None,None,Q5475,dbu ma, gi,236a1,dbu ma, gi,236b3,None,dbu ma, gi,224b3,dbu ma, gi,225a4,C1198,(no check),None,None,None,GT3478,mdo 'grel, gi,285a6,mdo 'grel, gi,286a3,None
47.0,སངས་རྒྱས་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་ལ་བསྟོད་པ,D1158,bstod tshogs, ka,203b1,bstod tshogs, ka,204a5,Q2047,bstod tshogs, ka,237b5,bstod tshogs, ka,238b4,N836,bstod tshogs, ka,222b5,bstod tshogs, ka,223b3,C1103,bstod tshogs, ka ,235b2,bstod tshogs, ka ,236b1,GT47,bstod tshogs, ka,291a3,bstod tshogs, ka,292a6,None
51.0,བཅོམ་ལྡན་འདས་ལ་བསྟོད་པ་དཔལ་རྡོ་རྗེ་འཛིན་གྱི་དབྱངས,D1162,bstod tshogs, ka,231a2,bstod tshogs, ka,231b1,Q2051,bstod tshogs, ka,270a5,bstod tshogs, ka,270b5,N840,bstod tshogs, ka,253b2,bstod tshogs, ka,254a1,C1107,bstod tshogs, ka ,269a6,bstod tshogs, ka ,269b5,GT51,bstod tshogs, ka,332b6,bstod tshogs, ka,333a6,None
52.0,བཅོམ་ལྡན་འདས་ལ་བསྟོད་པ་དཔལ་རྡོ་རྗེ་འཛིན་གྱི་དབྱངས་ཀྱི་རྒྱ་ཆེར་བཤད་པ,D1163,bstod tshogs, ka,231b1,bstod tshogs, ka,237a5,Q2052,bstod tshogs, ka,270b5,bstod tshogs, ka,277b3,N841,bstod tshogs, ka,254a1,bstod tshogs, ka,260b2,C1108,bstod tshogs, ka ,269b5,bstod tshogs, ka ,276b5,GT52,bstod tshogs, ka,333a6,bstod tshogs, ka,341b2,None
55.0,དེ་བཞིན་གཤེགས་པ་བརྒྱད་ལ་བསྟོད་པ,D1166,bstod tshogs, ka,238a6,bstod tshogs, ka,239a4,Q2055,bstod tshogs, ka,278b8,bstod tshogs, ka,279b8,N844,bstod tshogs, ka,261b5,bstod tshogs, ka,262b5,C1111,bstod tshogs, ka ,278a2,bstod tshogs, ka ,279a2,GT55,bstod tshogs, ka,344a1,bstod tshogs, ka,345b3,None
