None,None,None,None,None,294a,གཉིས་བརྒྱ་ གོ་བཞི་,#REF!,X,-2,587,12.0,བཅུ་གཉིས་,V23703_I1421,589.0,https://iiif.bdrc.io/bdr:V23703_I1421::14210589.tif/full/max/0/default.png
None,None,None,None,None,294b,None,#REF!,X,-2,588,13.0,བཅུ་གསུམ་,V23703_I1421,590.0,https://iiif.bdrc.io/bdr:V23703_I1421::14210590.tif/full/max/0/default.png
None,None,None,None,None,295a,གཉིས་བརྒྱ་ གོ་ལྔ་,#REF!,X,-2,589,14.0,བཅུ་བཞི་,V23703_I1421,591.0,https://iiif.bdrc.io/bdr:V23703_I1421::14210591.tif/full/max/0/default.png
None,None,None,None,None,295b,None,#REF!,X,-2,590,15.0,བཅོ་ལྔ་,V23703_I1421,592.0,https://iiif.bdrc.io/bdr:V23703_I1421::14210592.tif/full/max/0/default.png
None,None,None,None,None,296a,གཉིས་བརྒྱ་ གོ་དྲུག་,#REF!,X,-2,591,16.0,བཅུ་དྲུག་,V23703_I1421,593.0,https://iiif.bdrc.io/bdr:V23703_I1421::14210593.tif/full/max/0/default.png
None,None,None,None,None,296b,None,#REF!,X,-2,592,17.0,བཅུ་བདུན་,V23703_I1421,594.0,https://iiif.bdrc.io/bdr:V23703_I1421::14210594.tif/full/max/0/default.png
None,None,None,None,None,297a,གཉིས་བརྒྱ་ གོ་བདུན་,#REF!,X,-2,593,18.0,བཅོ་བརྒྱད་,V23703_I1421,595.0,https://iiif.bdrc.io/bdr:V23703_I1421::14210595.tif/full/max/0/default.png
None,None,None,None,None,297b,None,#REF!,X,-2,594,19.0,བཅུ་དགུ་,V23703_I1421,596.0,https://iiif.bdrc.io/bdr:V23703_I1421::14210596.tif/full/max/0/default.png
None,None,None,None,None,298a,གཉིས་བརྒྱ་ གོ་བརྒྱད་,#REF!,X,-2,595,20.0,ཉི་ཤུ,V23703_I1421,597.0,https://iiif.bdrc.io/bdr:V23703_I1421::14210597.tif/full/max/0/default.png
None,None,None,None,None,298b,None,#REF!,X,-2,596,21.0,ཉེར་གཅིག་,V23703_I1421,598.0,https://iiif.bdrc.io/bdr:V23703_I1421::14210598.tif/full/max/0/default.png
None,None,None,None,None,299a,གཉིས་བརྒྱ་ གོ་དགུ་,#REF!,X,-2,597,22.0,ཉེར་གཉིས་,V23703_I1421,599.0,https://iiif.bdrc.io/bdr:V23703_I1421::14210599.tif/full/max/0/default.png
None,None,None,None,None,299b,None,#REF!,X,-2,598,23.0,ཉེར་གསུམ་,V23703_I1421,600.0,https://iiif.bdrc.io/bdr:V23703_I1421::14210600.tif/full/max/0/default.png
