1,100,,,,,,,X,,,num,bo
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,127,བརྒྱ་ ཉེར་བདུན་
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,128,བརྒྱ་ ཉེར་བརྒྱད་
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,129,བརྒྱ་ ཉེར་དགུ་
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,130,བརྒྱ་ སུམ་བཅུ་
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,131,བརྒྱ་ སོ་གཅིག་
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,132,བརྒྱ་ སོ་གཉིས་
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,133,བརྒྱ་ སོ་གསུམ་
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,134,བརྒྱ་ སོ་བཞི་
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,135,བརྒྱ་ སོ་ལྔ་
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,136,བརྒྱ་ སོ་དྲུག་
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,137,བརྒྱ་ སོ་བདུན་
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,138,བརྒྱ་ སོ་བརྒྱད་
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,139,བརྒྱ་ སོ་དགུ་
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,140,བརྒྱ་ བཞི་བཅུ་
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,141,བརྒྱ་ ཞེ་གཅིག་
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,142,བརྒྱ་ ཞེ་གཉིས་
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,143,བརྒྱ་ ཞེ་གསུམ་
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,144,བརྒྱ་ ཞེ་བཞི་
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,145,བརྒྱ་ ཞེ་ལྔ་
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,146,བརྒྱ་ ཞེ་དྲུག་
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,147,བརྒྱ་ ཞེ་བདུན་
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,148,བརྒྱ་ ཞེ་བརྒྱད་
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,149,བརྒྱ་ ཞེ་དགུ་
